식당명,음식,주소,gyung,wedo
간판없는김치찌개,김치찌개,부산 중구 부평동1가 29-51,129.027393669257,35.1006335271467
원조부산족발,냉채족발,부산 중구 부평동1가 35-5,129.027026366992,35.099616656156
거인통닭,치킨,부산 중구 부평동2가 11-2,129.026101312227,35.1023313268732
비빔당면,비빔당면,부산 중구 부평동2가 11-34,129.026392988273,35.1022866182131
이가네떡볶이,떡볶이,부산 중구 부평동2가 17,129.025921130993,35.1012452679744
바다집,수중전골,부산 중구 신창동2가 17-3,129.029705080318,35.1008240972862
뚱보집,쭈꾸미 구이,부산 중구 중앙동1가 21-3,129.036095428856,35.1006839215444
부광돼지국밥,돼지국밥,부산 중구 중앙동4가 37-7,129.035044805768,35.1042287634236
동궁,중식,부산 중구 중앙동4가 84,0,0
해운대원조할매국밥,소고기국밥,부산 해운대구 우1동 612-2,129.161138725549,35.1631554270473
가나기사식당,돈까스,서울 강남구 논현동 275-3,127.037730322916,37.5099022086522
엄마손만두,매콤 만둣국,서울 강동구 천호동 436-5,127.125771100307,37.5417009642794
만두명가,꽈배기,서울 강북구 수유1동 54-1,127.023110677548,37.6312371558487
공항칼국수,버섯칼국수,서울 강서구 공항동 73-7,126.807989443356,37.5614211550933
원조수구레,수구레,서울 강서구 방화동 179-14,126.817461977942,37.5728427728516
나인온스,햄버거,서울 관악구 봉천동 1626-20,126.958333967097,37.4773528176089
돈파스팔레,돈가스 파스타,서울 관악구 봉천동 1628-18,126.960587063933,37.4773257494447
전주익산집,백순대 철판볶음,서울 관악구 신림동 1640-31,126.928772800265,37.4832953558357
아차산할아버지 순두부,순두부,서울 광진구 구의동 143-2,127.094554691693,37.5544192075118
신토불이떡볶이,떡볶이,서울 광진구 구의동 52-17,127.090466449738,37.5525259907823
한라산도새기,오겹살,서울 구로구 오류2동 135-68,126.842509836123,37.4925271036127
순댕이네얼큰수제비,칼제비 국밥,서울 금천구 독산동 159-7,126.899075339961,37.4723396140278
돈까스먹는 용만이,돈까스,서울 노원구 중계4동 140-42,127.074641494564,37.6612329780762
장안정,돈가스,서울 동대문구 장안동 334-3,127.075199114854,37.5718382968272
허파식당,소허파전골,서울 동대문구 제기동 1156-14,127.034298674346,37.5801709208047
감초식당,연탄갈비,서울 동대문구 제기동 892-12,127.036262691012,37.579545494569
노량진 포차 수제비,멸치수제비,서울 동작구 노량진로 184,126.946185910688,37.5133125843081
고가네 원조숯불구이통닭,닭꼬치,서울 동작구 상도동 195-52,126.936557420171,37.5029218334323
수목식당,칼국수,서울 동작구 흑석동 54-146,126.963036010124,37.5070489688063
발리비스트로,미고랭,서울 마포구 노고산동 31-74,126.937894754377,37.5536865092753
굴다리식당,김치찌개,서울 마포구 도화동 181-45,126.950806990847,37.542107553425
마포원조떡볶이,떡볶이,서울 마포구 도화동 345-4,126.948802904396,37.540331822186
